"統計期","行政區別","土地面積[平方公里]","實際編組里數[里]","戶籍登記里數[里]","實際編組鄰數[鄰]","戶籍登記鄰數[鄰]","戶數[戶]","人口數/總計[人]","人口數/男[人]","人口數/女[人]","性比例[男/百女]","戶量[人/戶]","人口密度[人/平方公里]"
"99年 11月底","中正區",7.6071,31,0,584,0,62275,159415,76896,82519,93.19,2.56,20956
"99年 11月底","大同區",5.6815,25,0,524,0,47332,124419,61312,63107,97.16,2.63,21899
"99年 11月底","萬華區",8.8522,36,0,722,0,74152,188885,94116,94769,99.31,2.55,21338
"99年 11月底","文山區",31.5090,43,0,994,0,97056,261887,126830,135057,93.91,2.70,8311
"99年 11月底","南港區",21.8424,20,0,443,0,41785,113920,56059,57861,96.89,2.73,5216
"99年 11月底","內湖區",31.5787,39,0,884,0,96797,269748,130033,139715,93.07,2.79,8542
"99年 11月底","士林區",62.3682,51,0,987,0,100804,284369,138161,146208,94.50,2.82,4560
"99年 11月底","北投區",56.8216,42,0,821,0,89637,248798,120672,128126,94.18,2.78,4379
"99年 12月底","總計",271.7997,456,0,9533,0,983237,2618772,1262554,1356218,93.09,2.66,9635
"99年 12月底","松山區",9.2878,33,0,760,0,77919,208434,98868,109566,90.24,2.68,22442
"99年 12月底","信義區",11.2077,41,0,914,0,85909,225092,108402,116690,92.90,2.62,20084
"99年 12月底","大安區",11.3614,53,0,1027,0,116919,311565,146662,164903,88.94,2.66,27423
"99年 12月底","中山區",13.6821,42,0,872,0,91897,220126,103598,116528,88.90,2.40,16089
"99年 12月底","中正區",7.6071,31,0,584,0,62272,159536,76957,82579,93.19,2.56,20972
"99年 12月底","大同區",5.6815,25,0,524,0,47413,124600,61398,63202,97.15,2.63,21931
"99年 12月底","萬華區",8.8522,36,0,722,0,74244,189099,94226,94873,99.32,2.55,21362
"99年 12月底","文山區",31.5090,43,0,994,0,97200,262307,127002,135305,93.86,2.70,8325
"99年 12月底","南港區",21.8424,20,0,444,0,41813,114023,56063,57960,96.73,2.73,5220
"99年 12月底","內湖區",31.5787,39,0,884,0,96969,270245,130289,139956,93.09,2.79,8558
"99年 12月底","士林區",62.3682,51,0,987,0,100928,284539,138216,146323,94.46,2.82,4562
"99年 12月底","北投區",56.8216,42,0,821,0,89754,249206,120873,128333,94.19,2.78,4386
"100年 1月底","總計",271.7997,456,0,9534,0,983906,2622883,1264359,1358524,93.07,2.67,9650
"100年 1月底","松山區",9.2878,33,0,761,0,77967,208769,98992,109777,90.18,2.68,22478
"100年 1月底","信義區",11.2077,41,0,914,0,85944,225375,108498,116877,92.83,2.62,20109
"100年 1月底","大安區",11.3614,53,0,1027,0,116889,311896,146858,165038,88.98,2.67,27452
"100年 1月底","中山區",13.6821,42,0,872,0,91980,220573,103763,116810,88.83,2.40,16121
"100年 1月底","中正區",7.6071,31,0,584,0,62282,159768,77057,82711,93.16,2.57,21002
"100年 1月底","大同區",5.6815,25,0,524,0,47478,124819,61486,63333,97.08,2.63,21969
"100年 1月底","萬華區",8.8522,36,0,722,0,74253,189269,94342,94927,99.38,2.55,21381
"100年 1月底","文山區",31.5090,43,0,994,0,97225,262651,127183,135468,93.88,2.70,8336
"100年 1月底","南港區",21.8424,20,0,444,0,41848,114258,56172,58086,96.70,2.73,5231
