"統計期","行政區別","土地面積[平方公里]","實際編組里數[里]","戶籍登記里數[里]","實際編組鄰數[鄰]","戶籍登記鄰數[鄰]","戶數[戶]","人口數/總計[人]","人口數/男[人]","人口數/女[人]","性比例[男/百女]","戶量[人/戶]","人口密度[人/平方公里]"
"87年 1月底","總計",271.7997,435,0,9892,0,854969,2600118,1296241,1303877,99.41,3.04,9566
"87年 1月底","松山區",9.2878,33,0,770,0,69659,206030,100344,105686,94.95,2.96,22183
"87年 1月底","信義區",11.2077,41,0,956,0,81292,239970,121016,118954,101.73,2.95,21411
"87年 1月底","大安區",11.3614,54,0,1070,0,108004,314597,153808,160789,95.66,2.91,27690
"87年 1月底","中山區",13.6821,40,0,892,0,77279,212317,104070,108247,96.14,2.75,15518
"87年 1月底","中正區",7.6071,31,0,643,0,57554,165072,82681,82391,100.35,2.87,21700
"87年 1月底","大同區",5.6815,26,0,622,0,42097,133663,67539,66124,102.14,3.18,23526
"87年 1月底","萬華區",8.8522,36,0,748,0,68246,208447,106838,101609,105.15,3.05,23547
"87年 1月底","文山區",31.5090,37,0,1049,0,78231,235659,118020,117639,100.32,3.01,7479
"87年 1月底","南港區",21.8424,18,0,438,0,33823,110987,56292,54695,102.92,3.28,5081
"87年 1月底","內湖區",31.5787,29,0,860,0,75017,237573,118119,119454,98.88,3.17,7523
"87年 1月底","士林區",62.3682,50,0,990,0,89470,293806,146381,147425,99.29,3.28,4711
"87年 1月底","北投區",56.8216,40,0,854,0,74297,241997,121133,120864,100.22,3.26,4259
"87年 2月底","總計",271.7997,435,0,9892,0,855955,2601042,1296331,1304711,99.36,3.04,9570
"87年 2月底","松山區",9.2878,33,0,770,0,69675,206163,100386,105777,94.90,2.96,22197
"87年 2月底","信義區",11.2077,41,0,956,0,81380,240113,121057,119056,101.68,2.95,21424
"87年 2月底","大安區",11.3614,54,0,1070,0,108069,314733,153779,160954,95.54,2.91,27702
"87年 2月底","中山區",13.6821,40,0,892,0,77242,212174,103964,108210,96.08,2.75,15507
"87年 2月底","中正區",7.6071,31,0,643,0,57650,165313,82773,82540,100.28,2.87,21731
"87年 2月底","大同區",5.6815,26,0,622,0,42244,133954,67693,66261,102.16,3.17,23577
"87年 2月底","萬華區",8.8522,36,0,748,0,68374,208424,106824,101600,105.14,3.05,23545
"87年 2月底","文山區",31.5090,37,0,1049,0,78423,235849,118101,117748,100.30,3.01,7485
"87年 2月底","南港區",21.8424,18,0,438,0,33851,110885,56225,54660,102.86,3.28,5077
"87年 2月底","內湖區",31.5787,29,0,860,0,75156,237791,118203,119588,98.84,3.16,7530
"87年 2月底","士林區",62.3682,50,0,990,0,89498,293672,146288,147384,99.26,3.28,4709
"87年 2月底","北投區",56.8216,40,0,854,0,74393,241971,121038,120933,100.09,3.25,4258
"87年 3月底","總計",271.7997,435,0,9897,0,857795,2605761,1298479,1307282,99.33,3.04,9587
"87年 3月底","松山區",9.2878,33,0,770,0,69805,206454,100545,105909,94.94,2.96,22229
"87年 3月底","信義區",11.2077,41,0,956,0,81454,240458,121182,119276,101.60,2.95,21455
"87年 3月底","大安區",11.3614,54,0,1070,0,108165,315312,154015,161297,95.49,2.92,27753
"87年 3月底","中山區",13.6821,40,0,892,0,77420,212649,104143,108506,95.98,2.75,15542
"87年 3月底","中正區",7.6071,31,0,643,0,57713,165552,82864,82688,100.21,2.87,21763
"87年 3月底","大同區",5.6815,26,0,627,0,42369,134175,67819,66356,102.20,3.17,23616
"87年 3月底","萬華區",8.8522,36,0,748,0,68507,208499,106876,101623,105.17,3.04,23553
"87年 3月底","文山區",31.5090,37,0,1049,0,78769,236682,118514,118168,100.29,3.00,7512
"87年 3月底","南港區",21.8424,18,0,438,0,33884,110746,56185,54561,102.98,3.27,5070
"87年 3月底","內湖區",31.5787,29,0,860,0,75478,238652,118626,120026,98.83,3.16,7557
"87年 3月底","士林區",62.3682,50,0,990,0,89673,294242,146526,147716,99.19,3.28,4718
"87年 3月底","北投區",56.8216,40,0,854,0,74558,242340,121184,121156,100.02,3.25,4265
"87年 4月底","總計",271.7997,435,0,9897,0,859483,2608827,1299671,1309156,99.28,3.04,9598
"87年 4月底","松山區",9.2878,33,0,770,0,69886,206698,100640,106058,94.89,2.96,22255
"87年 4月底","信義區",11.2077,41,0,956,0,81528,240508,121163,119345,101.52,2.95,21459
"87年 4月底","大安區",11.3614,54,0,1070,0,108310,315792,154203,161589,95.43,2.92,27795
"87年 4月底","中山區",13.6821,40,0,892,0,77557,212906,104227,108679,95.90,2.75,15561
"87年 4月底","中正區",7.6071,31,0,643,0,57805,165707,82923,82784,100.17,2.87,21783
"87年 4月底","大同區",5.6815,26,0,627,0,42444,134239,67841,66398,102.17,3.16,23627
"87年 4月底","萬華區",8.8522,36,0,748,0,68609,208423,106813,101610,105.12,3.04,23545
"87年 4月底","文山區",31.5090,37,0,1049,0,79092,237390,118830,118560,100.23,3.00,7534
"87年 4月底","南港區",21.8424,18,0,438,0,33945,110813,56199,54614,102.90,3.26,5073
"87年 4月底","內湖區",31.5787,29,0,860,0,75734,239177,118867,120310,98.80,3.16,7574
"87年 4月底","士林區",62.3682,50,0,990,0,89835,294485,146592,147893,99.12,3.28,4722
"87年 4月底","北投區",56.8216,40,0,854,0,74738,242689,121373,121316,100.05,3.25,4271
"87年 5月底","總計",271.7997,435,0,9897,0,861289,2612246,1301049,1311197,99.23,3.03,9611
"87年 5月底","松山區",9.2878,33,0,770,0,70003,206953,100750,106203,94.87,2.96,22282
"87年 5月底","信義區",11.2077,41,0,956,0,81602,240631,121221,119410,101.52,2.95,21470
"87年 5月底","大安區",11.3614,54,0,1070,0,108480,316249,154312,161937,95.29,2.92,27835
"87年 5月底","中山區",13.6821,40,0,892,0,77754,213189,104356,108833,95.89,2.74,15582
"87年 5月底","中正區",7.6071,31,0,643,0,57914,166050,83043,83007,100.04,2.87,21828
"87年 5月底","大同區",5.6815,26,0,627,0,42513,134235,67837,66398,102.17,3.16,23627
"87年 5月底","萬華區",8.8522,36,0,748,0,68743,208543,106896,101647,105.16,3.03,23558
"87年 5月底","文山區",31.5090,37,0,1049,0,79421,238182,119192,118990,100.17,3.00,7559
"87年 5月底","南港區",21.8424,18,0,438,0,34001,110896,56256,54640,102.96,3.26,5077
"87年 5月底","內湖區",31.5787,29,0,860,0,75909,239423,118971,120452,98.77,3.15,7582
"87年 5月底","士林區",62.3682,50,0,990,0,90000,294840,146702,148138,99.03,3.28,4727
"87年 5月底","北投區",56.8216,40,0,854,0,74949,243055,121513,121542,99.98,3.24,4278
"87年 6月底","總計",271.7997,435,0,9897,0,864300,2622171,1305285,1316886,99.12,3.03,9647
"87年 6月底","松山區",9.2878,33,0,770,0,70189,207680,101071,106609,94.81,2.96,22361
"87年 6月底","信義區",11.2077,41,0,956,0,81831,241387,121537,119850,101.41,2.95,21538
"87年 6月底","大安區",11.3614,54,0,1070,0,108709,317520,154845,162675,95.19,2.92,27947
"87年 6月底","中山區",13.6821,40,0,892,0,78062,214046,104672,109374,95.70,2.74,15644
"87年 6月底","中正區",7.6071,31,0,643,0,58136,166795,83364,83431,99.92,2.87,21926
"87年 6月底","大同區",5.6815,26,0,627,0,42628,134451,67895,66556,102.01,3.15,23665
"87年 6月底","萬華區",8.8522,36,0,748,0,68967,209098,107143,101955,105.09,3.03,23621
"87年 6月底","文山區",31.5090,37,0,1049,0,79986,239963,120047,119916,100.11,3.00,7616
"87年 6月底","南港區",21.8424,18,0,438,0,34108,111197,56344,54853,102.72,3.26,5091
"87年 6月底","內湖區",31.5787,29,0,860,0,76254,240464,119448,121016,98.70,3.15,7615
"87年 6月底","士林區",62.3682,50,0,990,0,90237,295727,147120,148607,99.00,3.28,4742
"87年 6月底","北投區",56.8216,40,0,854,0,75193,243843,121799,122044,99.80,3.24,4291
"87年 7月底","總計",271.7997,435,0,9915,0,866101,2628310,1307894,1320416,99.05,3.03,9670
"87年 7月底","松山區",9.2878,33,0,770,0,70269,208011,101182,106829,94.71,2.96,22396
"87年 7月底","信義區",11.2077,41,0,958,0,81976,241895,121757,120138,101.35,2.95,21583
"87年 7月底","大安區",11.3614,54,0,1070,0,108870,318314,155149,163165,95.09,2.92,28017
"87年 7月底","中山區",13.6821,40,0,892,0,78217,214488,104851,109637,95.63,2.74,15677
"87年 7月底","中正區",7.6071,31,0,643,0,58241,167136,83483,83653,99.80,2.87,21971
"87年 7月底","大同區",5.6815,26,0,627,0,42593,134442,67905,66537,102.06,3.16,23663
"87年 7月底","萬華區",8.8522,36,0,748,0,69139,209437,107281,102156,105.02,3.03,23659
"87年 7月底","文山區",31.5090,37,0,1049,0,80260,240979,120529,120450,100.07,3.00,7648
"87年 7月底","南港區",21.8424,18,0,454,0,34230,111586,56531,55055,102.68,3.26,5109
"87年 7月底","內湖區",31.5787,29,0,860,0,76625,241510,119926,121584,98.64,3.15,7648
"87年 7月底","士林區",62.3682,50,0,990,0,90357,296146,147269,148877,98.92,3.28,4748
"87年 7月底","北投區",56.8216,40,0,854,0,75324,244366,122031,122335,99.75,3.24,4301
"87年 8月底","總計",271.7997,435,0,9922,0,867592,2631230,1308893,1322337,98.98,3.03,9681
"87年 8月底","松山區",9.2878,33,0,775,0,70286,207953,101168,106785,94.74,2.96,22390
"87年 8月底","信義區",11.2077,41,0,958,0,82111,242219,121889,120330,101.30,2.95,21612
"87年 8月底","大安區",11.3614,54,0,1070,0,108967,318577,155159,163418,94.95,2.92,28040
"87年 8月底","中山區",13.6821,40,0,892,0,78342,214749,104957,109792,95.60,2.74,15696
"87年 8月底","中正區",7.6071,31,0,643,0,58282,167173,83436,83737,99.64,2.87,21976
"87年 8月底","大同區",5.6815,26,0,627,0,42598,134404,67859,66545,101.97,3.16,23656
"87年 8月底","萬華區",8.8522,36,0,750,0,69172,209455,107259,102196,104.95,3.03,23661
"87年 8月底","文山區",31.5090,37,0,1049,0,80507,241554,120801,120753,100.04,3.00,7666
"87年 8月底","南港區",21.8424,18,0,454,0,34385,111833,56638,55195,102.61,3.25,5120
"87年 8月底","內湖區",31.5787,29,0,860,0,76957,242327,120316,122011,98.61,3.15,7674
"87年 8月底","士林區",62.3682,50,0,990,0,90506,296324,147296,149028,98.84,3.27,4751
"87年 8月底","北投區",56.8216,40,0,854,0,75479,244662,122115,122547,99.65,3.24,4306
"87年 9月底","總計",271.7997,435,0,9921,0,868952,2633363,1309604,1323759,98.93,3.03,9689
"87年 9月底","松山區",9.2878,33,0,775,0,70361,208000,101158,106842,94.68,2.96,22395
"87年 9月底","信義區",11.2077,41,0,956,0,82299,242378,121912,120466,101.20,2.95,21626
"87年 9月底","大安區",11.3614,54,0,1070,0,109152,318734,155175,163559,94.87,2.92,28054
"87年 9月底","中山區",13.6821,40,0,892,0,78427,214962,105063,109899,95.60,2.74,15711
"87年 9月底","中正區",7.6071,31,0,643,0,58222,166939,83317,83622,99.64,2.87,21945
"87年 9月底","大同區",5.6815,26,0,627,0,42614,134397,67832,66565,101.90,3.15,23655
"87年 9月底","萬華區",8.8522,36,0,750,0,69251,209616,107299,102317,104.87,3.03,23680
"87年 9月底","文山區",31.5090,37,0,1049,0,80829,242177,121062,121115,99.96,3.00,7686
"87年 9月底","南港區",21.8424,18,0,454,0,34501,112001,56697,55304,102.52,3.25,5128
"87年 9月底","內湖區",31.5787,29,0,860,0,77275,243053,120659,122394,98.58,3.15,7697
"87年 9月底","士林區",62.3682,50,0,990,0,90480,296167,147197,148970,98.81,3.27,4749
"87年 9月底","北投區",56.8216,40,0,855,0,75541,244939,122233,122706,99.61,3.24,4311
"87年 10月底","總計",271.7997,435,0,9917,0,869279,2635524,1310344,1325180,98.88,3.03,9697
"87年 10月底","松山區",9.2878,33,0,775,0,70383,208198,101257,106941,94.68,2.96,22416
"87年 10月底","信義區",11.2077,41,0,959,0,82263,242401,121870,120531,101.11,2.95,21628
"87年 10月底","大安區",11.3614,54,0,1070,0,108935,318424,155012,163412,94.86,2.92,28027
"87年 10月底","中山區",13.6821,40,0,886,0,78445,215146,105113,110033,95.53,2.74,15725
"87年 10月底","中正區",7.6071,31,0,643,0,58181,166842,83287,83555,99.68,2.87,21932
"87年 10月底","大同區",5.6815,26,0,627,0,42636,134488,67815,66673,101.71,3.15,23671
"87年 10月底","萬華區",8.8522,36,0,750,0,69191,209657,107313,102344,104.86,3.03,23684
"87年 10月底","文山區",31.5090,37,0,1049,0,80988,242780,121307,121473,99.86,3.00,7705
"87年 10月底","南港區",21.8424,18,0,454,0,34608,112302,56806,55496,102.36,3.24,5141
"87年 10月底","內湖區",31.5787,29,0,860,0,77465,243643,120932,122711,98.55,3.15,7715
"87年 10月底","士林區",62.3682,50,0,990,0,90487,296269,147252,149017,98.82,3.27,4750
"87年 10月底","北投區",56.8216,40,0,854,0,75697,245374,122380,122994,99.50,3.24,4318
"87年 11月底","總計",271.7997,435,0,9919,0,869533,2638565,1311532,1327033,98.83,3.03,9708
"87年 11月底","松山區",9.2878,33,0,775,0,70252,208121,101142,106979,94.54,2.96,22408
"87年 11月底","信義區",11.2077,41,0,959,0,82222,242437,121833,120604,101.02,2.95,21631
"87年 11月底","大安區",11.3614,54,0,1070,0,108953,318683,155147,163536,94.87,2.92,28050
"87年 11月底","中山區",13.6821,40,0,886,0,78426,215390,105145,110245,95.37,2.75,15742
"87年 11月底","中正區",7.6071,31,0,643,0,58171,166982,83324,83658,99.60,2.87,21951
"87年 11月底","大同區",5.6815,26,0,627,0,42640,134615,67892,66723,101.75,3.16,23694
"87年 11月底","萬華區",8.8522,36,0,750,0,69166,209798,107324,102474,104.73,3.03,23700
"87年 11月底","文山區",31.5090,37,0,1049,0,81097,243272,121536,121736,99.84,3.00,7721
"87年 11月底","南港區",21.8424,18,0,454,0,34655,112501,56948,55553,102.51,3.25,5151
"87年 11月底","內湖區",31.5787,29,0,860,0,77617,244246,121198,123048,98.50,3.15,7735
"87年 11月底","士林區",62.3682,50,0,992,0,90526,296667,147434,149233,98.79,3.28,4757
"87年 11月底","北投區",56.8216,40,0,854,0,75808,245853,122609,123244,99.48,3.24,4327
"87年 12月底","總計",271.7997,435,0,9908,0,869803,2639939,1311789,1328150,98.77,3.04,9713
"87年 12月底","松山區",9.2878,33,0,775,0,70241,208198,101134,107064,94.46,2.96,22416
"87年 12月底","信義區",11.2077,41,0,959,0,82182,242500,121808,120692,100.92,2.95,21637
"87年 12月底","大安區",11.3614,54,0,1070,0,109055,319003,155269,163734,94.83,2.93,28078
"87年 12月底","中山區",13.6821,40,0,886,0,78265,215168,105013,110155,95.33,2.75,15726
"87年 12月底","中正區",7.6071,31,0,632,0,57942,166532,83053,83479,99.49,2.87,21892
"87年 12月底","大同區",5.6815,26,0,627,0,42601,134563,67861,66702,101.74,3.16,23684
"87年 12月底","萬華區",8.8522,36,0,750,0,69193,209780,107242,102538,104.59,3.03,23698
"87年 12月底","文山區",31.5090,37,0,1049,0,81323,243939,121859,122080,99.82,3.00,7742
"87年 12月底","南港區",21.8424,18,0,454,0,34759,112699,57020,55679,102.41,3.24,5160
"87年 12月底","內湖區",31.5787,29,0,860,0,77764,244642,121405,123237,98.51,3.15,7747
"87年 12月底","士林區",62.3682,50,0,992,0,90563,296810,147417,149393,98.68,3.28,4759
"87年 12月底","北投區",56.8216,40,0,854,0,75915,246105,122708,123397,99.44,3.24,4331
"88年 1月底","總計",271.7997,435,0,9908,0,870524,2640465,1311656,1328809,98.71,3.03,9715
"88年 1月底","松山區",9.2878,33,0,775,0,70249,208146,101130,107016,94.50,2.96,22411
"88年 1月底","信義區",11.2077,41,0,959,0,82270,242508,121763,120745,100.84,2.95,21638
"88年 1月底","大安區",11.3614,54,0,1070,0,109128,318994,155200,163794,94.75,2.92,28077
"88年 1月底","中山區",13.6821,40,0,886,0,78291,215240,105010,110230,95.26,2.75,15732
"88年 1月底","中正區",7.6071,31,0,632,0,57892,166284,82867,83417,99.34,2.87,21859
"88年 1月底","大同區",5.6815,26,0,627,0,42602,134449,67798,66651,101.72,3.16,23664
"88年 1月底","萬華區",8.8522,36,0,750,0,69210,209758,107191,102567,104.51,3.03,23696
"88年 1月底","文山區",31.5090,37,0,1049,0,81502,244326,122023,122303,99.77,3.00,7754
"88年 1月底","南港區",21.8424,18,0,454,0,34794,112732,57026,55706,102.37,3.24,5161
"88年 1月底","內湖區",31.5787,29,0,860,0,77955,245090,121586,123504,98.45,3.14,7761
"88年 1月底","士林區",62.3682,50,0,992,0,90546,296553,147253,149300,98.63,3.28,4755
"88年 1月底","北投區",56.8216,40,0,854,0,76085,246385,122809,123576,99.38,3.24,4336
"88年 2月底","總計",271.7997,435,0,9908,0,869840,2640102,1311401,1328701,98.70,3.04,9713
"88年 2月底","松山區",9.2878,33,0,775,0,70208,207908,101034,106874,94.54,2.96,22385
"88年 2月底","信義區",11.2077,41,0,959,0,81321,242599,121796,120803,100.82,2.98,21646
"88年 2月底","大安區",11.3614,54,0,1070,0,109114,318696,155019,163677,94.71,2.92,28051
"88年 2月底","中山區",13.6821,40,0,886,0,78259,215096,104948,110148,95.28,2.75,15721
"88年 2月底","中正區",7.6071,31,0,632,0,57841,166093,82730,83363,99.24,2.87,21834
"88年 2月底","大同區",5.6815,26,0,627,0,42621,134366,67754,66612,101.71,3.15,23650
"88年 2月底","萬華區",8.8522,36,0,750,0,69194,209531,107087,102444,104.53,3.03,23670
"88年 2月底","文山區",31.5090,37,0,1049,0,81609,244653,122167,122486,99.74,3.00,7765
"88年 2月底","南港區",21.8424,18,0,454,0,34764,112589,56972,55617,102.44,3.24,5155
"88年 2月底","內湖區",31.5787,29,0,860,0,78209,245620,121837,123783,98.43,3.14,7778
"88年 2月底","士林區",62.3682,50,0,992,0,90535,296460,147245,149215,98.68,3.27,4753
"88年 2月底","北投區",56.8216,40,0,854,0,76165,246491,122812,123679,99.30,3.24,4338
"88年 3月底","總計",271.7997,435,0,9909,0,871485,2640285,1311159,1329126,98.65,3.03,9714
"88年 3月底","松山區",9.2878,33,0,775,0,70214,207748,100922,106826,94.47,2.96,22368
"88年 3月底","信義區",11.2077,41,0,959,0,82352,242671,121767,120904,100.71,2.95,21652
"88年 3月底","大安區",11.3614,54,0,1070,0,109117,318467,154855,163612,94.65,2.92,28031
"88年 3月底","中山區",13.6821,40,0,886,0,78312,215144,104965,110179,95.27,2.75,15724
"88年 3月底","中正區",7.6071,31,0,632,0,57829,165981,82663,83318,99.21,2.87,21819
"88年 3月底","大同區",5.6815,26,0,627,0,42603,134164,67594,66570,101.54,3.15,23614
"88年 3月底","萬華區",8.8522,36,0,751,0,69239,209424,107013,102411,104.49,3.02,23658
"88年 3月底","文山區",31.5090,37,0,1049,0,81846,245166,122388,122778,99.68,3.00,7781
"88年 3月底","南港區",21.8424,18,0,454,0,34791,112639,56988,55651,102.40,3.24,5157
"88年 3月底","內湖區",31.5787,29,0,860,0,78462,246165,122074,124091,98.37,3.14,7795
"88年 3月底","士林區",62.3682,50,0,992,0,90448,296149,147080,149069,98.67,3.27,4748
"88年 3月底","北投區",56.8216,40,0,854,0,76272,246567,122850,123717,99.30,3.23,4339
"88年 4月底","總計",271.7997,435,0,9909,0,872050,2640225,1310747,1329478,98.59,3.03,9714
"88年 4月底","松山區",9.2878,33,0,775,0,70257,207753,100936,106817,94.49,2.96,22368
"88年 4月底","信義區",11.2077,41,0,959,0,82361,242549,121675,120874,100.66,2.94,21641
"88年 4月底","大安區",11.3614,54,0,1070,0,109132,318422,154751,163671,94.55,2.92,28027
"88年 4月底","中山區",13.6821,40,0,886,0,78273,214973,104829,110144,95.17,2.75,15712
"88年 4月底","中正區",7.6071,31,0,632,0,57871,166068,82654,83414,99.09,2.87,21831
"88年 4月底","大同區",5.6815,26,0,627,0,42615,134056,67535,66521,101.52,3.15,23595
"88年 4月底","萬華區",8.8522,36,0,751,0,69213,209063,106802,102261,104.44,3.02,23617
"88年 4月底","文山區",31.5090,37,0,1049,0,82035,245529,122538,122991,99.63,2.99,7792
"88年 4月底","南港區",21.8424,18,0,454,0,34843,112669,56990,55679,102.35,3.23,5158
"88年 4月底","內湖區",31.5787,29,0,860,0,78610,246514,122277,124237,98.42,3.14,7806
"88年 4月底","士林區",62.3682,50,0,992,0,90472,295983,146918,149065,98.56,3.27,4746
"88年 4月底","北投區",56.8216,40,0,854,0,76368,246646,122842,123804,99.22,3.23,4341
"88年 5月底","總計",271.7997,435,0,9921,0,873007,2640014,1310357,1329657,98.55,3.02,9713
"88年 5月底","松山區",9.2878,33,0,783,0,70318,207670,100896,106774,94.49,2.95,22359
"88年 5月底","信義區",11.2077,41,0,959,0,82340,242274,121529,120745,100.65,2.94,21617
"88年 5月底","大安區",11.3614,54,0,1070,0,109114,318220,154593,163627,94.48,2.92,28009
"88年 5月底","中山區",13.6821,40,0,886,0,78401,214939,104776,110163,95.11,2.74,15710
"88年 5月底","中正區",7.6071,31,0,632,0,57911,166055,82633,83422,99.05,2.87,21829
"88年 5月底","大同區",5.6815,26,0,627,0,42635,133978,67477,66501,101.47,3.14,23581
"88年 5月底","萬華區",8.8522,36,0,751,0,69246,208745,106606,102139,104.37,3.01,23581
"88年 5月底","文山區",31.5090,37,0,1053,0,82290,246091,122784,123307,99.58,2.99,7810
"88年 5月底","南港區",21.8424,18,0,454,0,34891,112629,56992,55637,102.44,3.23,5156
"88年 5月底","內湖區",31.5787,29,0,860,0,78866,246903,122417,124486,98.34,3.13,7819
"88年 5月底","士林區",62.3682,50,0,992,0,90487,295754,146780,148974,98.53,3.27,4742
"88年 5月底","北投區",56.8216,40,0,854,0,76508,246756,122874,123882,99.19,3.23,4343
"88年 6月底","總計",271.7997,435,0,9940,0,874230,2640322,1310368,1329954,98.53,3.02,9714
"88年 6月底","松山區",9.2878,33,0,783,0,70439,207857,100966,106891,94.46,2.95,22380
"88年 6月底","信義區",11.2077,41,0,959,0,82415,242238,121451,120787,100.55,2.94,21614
"88年 6月底","大安區",11.3614,54,0,1070,0,109099,318043,154411,163632,94.36,2.92,27993
"88年 6月底","中山區",13.6821,40,0,905,0,78460,214833,104763,110070,95.18,2.74,15702
"88年 6月底","中正區",7.6071,31,0,632,0,58035,166150,82684,83466,99.06,2.86,21841
"88年 6月底","大同區",5.6815,26,0,627,0,42707,133869,67409,66460,101.43,3.13,23562
"88年 6月底","萬華區",8.8522,36,0,751,0,69313,208496,106527,101969,104.47,3.01,23553
"88年 6月底","文山區",31.5090,37,0,1053,0,82458,246531,122995,123536,99.56,2.99,7824
"88年 6月底","南港區",21.8424,18,0,454,0,35098,112713,57038,55675,102.45,3.21,5160
"88年 6月底","內湖區",31.5787,29,0,860,0,79070,247227,122537,124690,98.27,3.13,7829
"88年 6月底","士林區",62.3682,50,0,992,0,90516,295706,146773,148933,98.55,3.27,4741
"88年 6月底","北投區",56.8216,40,0,854,0,76620,246659,122814,123845,99.17,3.22,4341
"88年 7月底","總計",271.7997,435,0,9948,0,875321,2640318,1310050,1330268,98.48,3.02,9714
"88年 7月底","松山區",9.2878,33,0,783,0,70491,207913,100989,106924,94.45,2.95,22386
"88年 7月底","信義區",11.2077,41,0,959,0,82487,242156,121338,120818,100.43,2.94,21606
"88年 7月底","大安區",11.3614,54,0,1070,0,109152,317807,154248,163559,94.31,2.91,27973
"88年 7月底","中山區",13.6821,40,0,904,0,78420,214772,104664,110108,95.06,2.74,15697
"88年 7月底","中正區",7.6071,31,0,632,0,58027,166040,82587,83453,98.96,2.86,21827
"88年 7月底","大同區",5.6815,26,0,627,0,42726,133762,67392,66370,101.54,3.13,23543
"88年 7月底","萬華區",8.8522,36,0,751,0,69390,208418,106470,101948,104.44,3.00,23544
"88年 7月底","文山區",31.5090,37,0,1062,0,82687,246854,123103,123751,99.48,2.99,7834
"88年 7月底","南港區",21.8424,18,0,454,0,35273,112916,57175,55741,102.57,3.20,5170
"88年 7月底","內湖區",31.5787,29,0,860,0,79233,247459,122627,124832,98.23,3.12,7836
"88年 7月底","士林區",62.3682,50,0,992,0,90629,295569,146654,148915,98.48,3.26,4739
"88年 7月底","北投區",56.8216,40,0,854,0,76806,246652,122803,123849,99.16,3.21,4341
"88年 8月底","總計",271.7997,435,0,9962,0,876084,2639169,1309373,1329796,98.46,3.01,9710
"88年 8月底","松山區",9.2878,33,0,783,0,70483,207716,100889,106827,94.44,2.95,22364
"88年 8月底","信義區",11.2077,41,0,959,0,82540,241942,121224,120718,100.42,2.93,21587
"88年 8月底","大安區",11.3614,54,0,1070,0,109185,317437,154020,163417,94.25,2.91,27940
"88年 8月底","中山區",13.6821,40,0,904,0,78385,214470,104501,109969,95.03,2.74,15675
"88年 8月底","中正區",7.6071,31,0,632,0,58056,165882,82499,83383,98.94,2.86,21806
"88年 8月底","大同區",5.6815,26,0,629,0,42767,133635,67368,66267,101.66,3.12,23521
"88年 8月底","萬華區",8.8522,36,0,751,0,69445,208269,106352,101917,104.35,3.00,23527
"88年 8月底","文山區",31.5090,37,0,1075,0,82901,247249,123310,123939,99.49,2.98,7847
"88年 8月底","南港區",21.8424,18,0,454,0,35344,112864,57155,55709,102.60,3.19,5167
"88年 8月底","內湖區",31.5787,29,0,859,0,79416,247818,122818,125000,98.25,3.12,7848
"88年 8月底","士林區",62.3682,50,0,992,0,90675,295293,146490,148803,98.45,3.26,4735
"88年 8月底","北投區",56.8216,40,0,854,0,76887,246594,122747,123847,99.11,3.21,4340
"88年 9月底","總計",271.7997,435,0,9965,0,877099,2638249,1308898,1329351,98.46,3.01,9707
"88年 9月底","松山區",9.2878,33,0,783,0,70501,207335,100722,106613,94.47,2.94,22323
"88年 9月底","信義區",11.2077,41,0,959,0,82654,241904,121187,120717,100.39,2.93,21584
"88年 9月底","大安區",11.3614,54,0,1070,0,109264,317006,153736,163270,94.16,2.90,27902
"88年 9月底","中山區",13.6821,40,0,904,0,78496,214495,104513,109982,95.03,2.73,15677
"88年 9月底","中正區",7.6071,31,0,632,0,58023,165499,82310,83189,98.94,2.85,21756
"88年 9月底","大同區",5.6815,26,0,629,0,42736,133456,67318,66138,101.78,3.12,23490
"88年 9月底","萬華區",8.8522,36,0,751,0,69482,208081,106272,101809,104.38,2.99,23506
"88年 9月底","文山區",31.5090,37,0,1075,0,83180,247625,123483,124142,99.47,2.98,7859
"88年 9月底","南港區",21.8424,18,0,454,0,35422,112953,57221,55732,102.67,3.19,5171
"88年 9月底","內湖區",31.5787,29,0,859,0,79587,248117,122962,125155,98.25,3.12,7857
"88年 9月底","士林區",62.3682,50,0,995,0,90798,295207,146420,148787,98.41,3.25,4733
"88年 9月底","北投區",56.8216,40,0,854,0,76956,246571,122754,123817,99.14,3.20,4339
"88年 10月底","總計",271.7997,435,0,9965,0,877970,2638204,1308466,1329738,98.40,3.00,9706
"88年 10月底","松山區",9.2878,33,0,783,0,70580,207322,100663,106659,94.38,2.94,22322
"88年 10月底","信義區",11.2077,41,0,959,0,82681,241846,121096,120750,100.29,2.93,21579
"88年 10月底","大安區",11.3614,54,0,1070,0,109316,316806,153601,163205,94.12,2.90,27884
"88年 10月底","中山區",13.6821,40,0,904,0,78537,214477,104459,110018,94.95,2.73,15676
"88年 10月底","中正區",7.6071,31,0,632,0,58027,165400,82233,83167,98.88,2.85,21743
"88年 10月底","大同區",5.6815,26,0,629,0,42749,133386,67279,66107,101.77,3.12,23477
"88年 10月底","萬華區",8.8522,36,0,751,0,69536,208019,106226,101793,104.35,2.99,23499
"88年 10月底","文山區",31.5090,37,0,1075,0,83377,247922,123588,124334,99.40,2.97,7868
"88年 10月底","南港區",21.8424,18,0,454,0,35490,113004,57223,55781,102.59,3.18,5174
"88年 10月底","內湖區",31.5787,29,0,859,0,79841,248464,123078,125386,98.16,3.11,7868
"88年 10月底","士林區",62.3682,50,0,995,0,90801,295002,146316,148686,98.41,3.25,4730
